Nombre,Pobres,Vulnerables,Clase Media,Ingresos Altos,Total
Alimentos Y Bebidas No Alcohólicas,23.78,22.24,15.80,8.16,15.05
Bebidas Alcohólicas y Tabaco,1.82,1.88,1.72,1.53,1.70
Prendas De Vestir Y Calzado,3.30,3.50,3.91,4.49,3.98
"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",40.17,36.33,33.13,30.44,33.12
"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",2.97,3.07,3.75,5.99,4.19
Salud,1.51,1.40,1.52,2.34,1.71
Transporte,7.08,10.07,13.00,15.12,12.93
Información Y Comunicación,2.66,3.25,4.58,4.56,4.33
Recreación Y Cultura,2.61,2.89,3.46,5.19,3.79
Educación,1.64,1.74,4.29,6.55,4.41
Restaurantes Y Hoteles,7.23,8.17,9.48,10.31,9.43
Bienes Y Servicios Diversos,5.23,5.46,5.35,5.32,5.36
